WARNING - utils.py - 2025-09-24 20:57:38,254 - No checkpoint found at /home/a516/score_sde_jittor/train_dir/checkpoints-meta/checkpoint.pth. Returned the same state as input
INFO - dataset_info.py - 2025-09-24 20:57:38,258 - Load dataset info from /home/a516/tensorflow_datasets/cifar10/3.0.2
WARNING - options.py - 2025-09-24 20:57:38,261 - options.experimental_threading is deprecated. Use options.threading instead.
WARNING - options.py - 2025-09-24 20:57:38,261 - options.experimental_threading is deprecated. Use options.threading instead.
INFO - dataset_builder.py - 2025-09-24 20:57:38,261 - Reusing dataset cifar10 (/home/a516/tensorflow_datasets/cifar10/3.0.2)
INFO - logging_logger.py - 2025-09-24 20:57:38,321 - Constructing tf.data.Dataset cifar10 for split train, from /home/a516/tensorflow_datasets/cifar10/3.0.2
WARNING - options.py - 2025-09-24 20:57:38,381 - options.experimental_threading is deprecated. Use options.threading instead.
WARNING - options.py - 2025-09-24 20:57:38,381 - options.experimental_threading is deprecated. Use options.threading instead.
INFO - dataset_builder.py - 2025-09-24 20:57:38,382 - Reusing dataset cifar10 (/home/a516/tensorflow_datasets/cifar10/3.0.2)
INFO - logging_logger.py - 2025-09-24 20:57:38,398 - Constructing tf.data.Dataset cifar10 for split test, from /home/a516/tensorflow_datasets/cifar10/3.0.2
INFO - run_lib.py - 2025-09-24 20:57:38,460 - Starting training loop at step 0.
INFO - run_lib.py - 2025-09-24 20:57:40,149 - step: 0, training_loss: 1.53125e+03
INFO - run_lib.py - 2025-09-24 20:57:41,091 - step: 0, eval_loss: 1.51890e+03
INFO - run_lib.py - 2025-09-24 20:57:45,765 - step: 50, training_loss: 1.53427e+03
INFO - run_lib.py - 2025-09-24 20:57:50,306 - step: 100, training_loss: 1.47477e+03
INFO - run_lib.py - 2025-09-24 20:57:50,410 - step: 100, eval_loss: 1.51393e+03
INFO - run_lib.py - 2025-09-24 20:57:55,040 - step: 150, training_loss: 1.39618e+03
INFO - run_lib.py - 2025-09-24 20:57:59,876 - step: 200, training_loss: 1.28658e+03
INFO - run_lib.py - 2025-09-24 20:57:59,998 - step: 200, eval_loss: 1.26635e+03
